Entity,Code,Year,"Air transport, passengers carried"
Afghanistan,AFG,1970,84700
Afghanistan,AFG,1971,97400
Afghanistan,AFG,1972,104900
Afghanistan,AFG,1973,96600
Afghanistan,AFG,1974,96100
Afghanistan,AFG,1975,99000
Afghanistan,AFG,1976,101700
Afghanistan,AFG,1977,111200
Afghanistan,AFG,1978,100400
Afghanistan,AFG,1979,93000
Afghanistan,AFG,1980,76200
Afghanistan,AFG,1981,129100
Afghanistan,AFG,1982,181000
Afghanistan,AFG,1983,200200
Afghanistan,AFG,1984,220400
Afghanistan,AFG,1985,225500
Afghanistan,AFG,1986,184400
Afghanistan,AFG,1987,217900
Afghanistan,AFG,1988,201000
Afghanistan,AFG,1989,220000
Afghanistan,AFG,1990,241400
Afghanistan,AFG,1991,212300
Afghanistan,AFG,1992,212300
Afghanistan,AFG,1993,197000
Afghanistan,AFG,1994,238400
Afghanistan,AFG,1995,250400
Afghanistan,AFG,1996,255600
Afghanistan,AFG,1997,89600
Afghanistan,AFG,1998,52700
Afghanistan,AFG,1999,140200
Afghanistan,AFG,2000,149705
Afghanistan,AFG,2010,1999127
Afghanistan,AFG,2011,2279341.25
Afghanistan,AFG,2012,1737962.125
Afghanistan,AFG,2013,2044188
Afghanistan,AFG,2014,2209428
Afghanistan,AFG,2015,1929907
Afghanistan,AFG,2016,1917924
Afghanistan,AFG,2017,1647425
Afghanistan,AFG,2018,1125367
Afghanistan,AFG,2019,1066747.375
Afghanistan,AFG,2020,449041.03125
Albania,ALB,1994,9100
Albania,ALB,1995,13000
Albania,ALB,1996,29000
Albania,ALB,1997,55400
Albania,ALB,1998,21200
Albania,ALB,1999,91500
Albania,ALB,2000,136622
Albania,ALB,2001,146273
Albania,ALB,2002,137569
Albania,ALB,2003,158888
Albania,ALB,2004,179543
Albania,ALB,2005,195702
Albania,ALB,2006,213315
Albania,ALB,2007,238913
Albania,ALB,2008,243691
Albania,ALB,2009,231263
Albania,ALB,2010,768533
Albania,ALB,2011,829778.9375
Albania,ALB,2012,814339.75
Albania,ALB,2013,865848
Albania,ALB,2014,151632
Albania,ALB,2016,26634
Albania,ALB,2017,204090
Albania,ALB,2018,303137
Albania,ALB,2019,307741
Albania,ALB,2020,124714
Algeria,DZA,1970,563200
Algeria,DZA,1971,714800
Algeria,DZA,1972,843900
Algeria,DZA,1973,1053600
Algeria,DZA,1974,1252100
Algeria,DZA,1975,1618000
Algeria,DZA,1976,1681600
Algeria,DZA,1977,1997100
Algeria,DZA,1978,2229000
Algeria,DZA,1979,2663400
Algeria,DZA,1980,2950000
Algeria,DZA,1981,3000000
Algeria,DZA,1982,3150000
Algeria,DZA,1983,3410500
Algeria,DZA,1984,3781000
Algeria,DZA,1985,3965900
Algeria,DZA,1986,3689900
Algeria,DZA,1987,3566900
Algeria,DZA,1988,3655000
Algeria,DZA,1989,3862300
Algeria,DZA,1990,3748000
Algeria,DZA,1991,3385000
Algeria,DZA,1992,3551100
Algeria,DZA,1993,3254500
Algeria,DZA,1994,3241000
Algeria,DZA,1995,3477800
Algeria,DZA,1996,3494100
Algeria,DZA,1997,3517700
Algeria,DZA,1998,3381800
Algeria,DZA,1999,2936800
Algeria,DZA,2000,2997480
Algeria,DZA,2001,3419249
Algeria,DZA,2002,3002232
Algeria,DZA,2003,3292815
Algeria,DZA,2004,3236364
Algeria,DZA,2005,3037298
Algeria,DZA,2006,2899722
Algeria,DZA,2007,2813018
Algeria,DZA,2008,2884506
Algeria,DZA,2009,4370917
Algeria,DZA,2010,3372283
Algeria,DZA,2011,3543663
Algeria,DZA,2012,4082595
Algeria,DZA,2013,4492437
Algeria,DZA,2014,5021289
Algeria,DZA,2015,5400896
Algeria,DZA,2016,6093416
Algeria,DZA,2017,6230157
Algeria,DZA,2018,6442442
Algeria,DZA,2019,6752002
Algeria,DZA,2020,1460077
American Samoa,ASM,2010,49772.7890625
American Samoa,ASM,2011,50641.72265625
American Samoa,ASM,2012,56096.98046875
American Samoa,ASM,2013,72240
American Samoa,ASM,2014,76944
